feature_name,normalization_stage,shapiro_statistic,shapiro_pvalue,skewness,kurtosis,skew_degree,kurtosis_distribution
depth_1,Raw Data,0.08059571242930108,1.2369421510516489e-244,-9.449659437991766,170.54725054155617,high,platykurtic
depth_1,Capped Data,0.9865246580202492,4.564804785268821e-102,0.017075326919354667,-0.6187682020304015,low,platykurtic
depth_1,Normalized Data,0.7867774165221166,2.8542262899365588e-188,-0.02971774770977185,-1.8513752304872144,low,platykurtic
depth_1,Scaled Data,0.7867774165221171,2.8542262899365588e-188,-0.029717747709771525,-1.8513752304872115,low,platykurtic
depth_2,Raw Data,0.1332542797881986,3.244561122914142e-242,-1.744834222560587,68.22858640476123,high,platykurtic
depth_2,Capped Data,0.9916195770162477,6.478577919116573e-90,-0.01813388562007225,-0.43842991353441985,low,platykurtic
depth_2,Normalized Data,0.7876907868346233,4.07473719817244e-188,0.05303567227651325,-1.8492640294938605,low,platykurtic
depth_2,Scaled Data,0.7876907868346237,4.074737198172904e-188,0.05303567227651417,-1.8492640294938603,low,platykurtic
depth_3,Raw Data,0.15027127445665323,2.097052229427892e-241,-0.9017374301972456,55.48554912652314,medium,platykurtic
depth_3,Capped Data,0.9932785283057372,1.5436462043166667e-84,-0.022596468108676385,-0.29924602957443636,low,platykurtic
depth_3,Normalized Data,0.7869616102312084,3.0663354079256525e-188,0.08484144651387317,-1.8463162386185923,low,platykurtic
depth_3,Scaled Data,0.7869616102312087,3.0663354079263504e-188,0.08484144651387442,-1.846316238618592,low,platykurtic
depth_4,Raw Data,0.1652949345107384,1.1208907830123361e-240,-0.9829781445475969,46.8602437913179,medium,platykurtic
depth_4,Capped Data,0.10551235903815304,1.6619285788336426e-243,-9.14111494616213,81.73701605857752,high,platykurtic
depth_4,Normalized Data,0.8043147715699258,3.42395898723377e-185,0.05677076150853148,-1.7779853850477776,low,platykurtic
depth_4,Scaled Data,0.8043147715699258,3.42395898723377e-185,0.05677076150853083,-1.7779853850477783,low,platykurtic
depth_5,Raw Data,0.18127673565184577,6.874109738218763e-240,-0.5519839413003197,40.041790914227185,medium,platykurtic
depth_5,Capped Data,0.18127673565184577,6.874109738218763e-240,-0.5519839413003197,40.041790914227185,medium,platykurtic
depth_5,Normalized Data,0.8188830085370065,1.9404951791612388e-182,0.1368084573173568,-1.693980147459037,low,platykurtic
depth_5,Scaled Data,0.8188830085370065,1.9404951791612388e-182,0.13680845731735694,-1.6939801474590364,low,platykurtic
depth_6,Raw Data,0.20753813113456232,1.4539681027438115e-238,-0.25494415031177003,31.670618697421418,low,platykurtic
depth_6,Capped Data,0.20753813113456232,1.4539681027438115e-238,-0.25494415031177003,31.670618697421418,low,platykurtic
depth_6,Normalized Data,0.8240168934183373,2.022989051933836e-181,0.1369174671730045,-1.6681215496286756,low,platykurtic
depth_6,Scaled Data,0.8240168934183373,2.022989051933836e-181,0.13691746717300488,-1.6681215496286799,low,platykurtic
depth_7,Raw Data,0.23145196532147494,2.539935804373181e-237,-0.0987491610701755,26.10781019730673,low,platykurtic
depth_7,Capped Data,0.23145196532147494,2.539935804373181e-237,-0.0987491610701755,26.10781019730673,low,platykurtic
depth_7,Normalized Data,0.8293850801525986,2.5094843131276796e-180,0.10396482768307232,-1.6531985627261345,low,platykurtic
depth_7,Scaled Data,0.8293850801525986,2.5094843131276796e-180,0.10396482768307434,-1.6531985627261336,low,platykurtic
depth_8,Raw Data,0.2527580998815969,3.4814058153278974e-236,-0.09955557414002135,22.2607910834575,low,platykurtic
depth_8,Capped Data,0.2527580998815969,3.4814058153278974e-236,-0.09955557414002135,22.2607910834575,low,platykurtic
depth_8,Normalized Data,0.8348056071794459,3.4337334715217e-179,0.07364407635286997,-1.6361305973809164,low,platykurtic
depth_8,Scaled Data,0.8348056071794464,3.43373347152209e-179,0.07364407635287121,-1.6361305973809157,low,platykurtic
depth_9,Raw Data,0.27442151519113545,5.352264448860918e-235,-0.10454212644974352,19.115449954282944,low,platykurtic
depth_9,Capped Data,0.27442151519113545,5.352264448860918e-235,-0.10454212644974352,19.115449954282944,low,platykurtic
depth_9,Normalized Data,0.8400670012747576,4.690111529663788e-178,0.056528434927160594,-1.6152278748637723,low,platykurtic
depth_9,Scaled Data,0.8400670012747579,4.690111529664056e-178,0.05652843492715997,-1.615227874863772,low,platykurtic
depth_10,Raw Data,0.295396626949346,8.107165720599428e-234,-0.1082040598689275,16.616830269882154,low,platykurtic
depth_10,Capped Data,0.295396626949346,8.107165720599428e-234,-0.1082040598689275,16.616830269882154,low,platykurtic
depth_10,Normalized Data,0.844997207786307,5.835547436311999e-177,0.046543199178924,-1.5941135260695172,low,platykurtic
depth_10,Scaled Data,0.844997207786307,5.835547436311999e-177,0.04654319917892468,-1.5941135260695154,low,platykurtic
depth_11,Raw Data,0.3161476250689955,1.2841078700218852e-232,-0.10738283025704402,14.549680872154859,low,platykurtic
depth_11,Capped Data,0.3161476250689955,1.2841078700218852e-232,-0.10738283025704402,14.549680872154859,low,platykurtic
depth_11,Normalized Data,0.8498240580496039,7.393216552767919e-176,0.040903665079451555,-1.5729476873754327,low,platykurtic
depth_11,Scaled Data,0.8498240580496039,7.393216552767919e-176,0.04090366507945056,-1.5729476873754322,low,platykurtic
depth_12,Raw Data,0.3369716078989874,2.220485318819895e-231,-0.10438464623028956,12.79078268136277,low,platykurtic
depth_12,Capped Data,0.3369716078989874,2.220485318819895e-231,-0.10438464623028956,12.79078268136277,low,platykurtic
depth_12,Normalized Data,0.8545534731944533,9.5655506748777e-175,0.03770945697594835,-1.5520400322872117,low,platykurtic
